"Genes"	"Main-effect Genotype (logFC)"	"Main-effect Gentyope (FDR)"	"Main-effect Age (logFC)"	"Main-effect Age (FDR)"	"Linear Effect (logFC)"	"Linear Effect (FDR)"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000001"	-0.0820084130070061	0.999330785913715	-0.0146938690009149	0.492247426035128	0.00603023737609279	0.967763033851909	"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"ENSMUSG00000000028"	-0.995354299851013	0.999330785913715	-0.00608589530553192	0.98226908709786	0.0675366689602001	0.723003273170841	"Cdc45"	"cell division cycle 45"
"ENSMUSG00000000037"	-0.346406081338271	0.999330785913715	-0.00511274282480546	0.985086512050812	0.0265017248598813	0.955630043206616	"Scml2"	"sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000056"	-0.155463562447883	0.999330785913715	-0.014360292579632	0.400917959726358	0.00374900138253874	0.979626193768424	"Narf"	"nuclear prelamin A recognition factor"
"ENSMUSG00000000058"	0.433496069739895	0.923295536986045	0.0120942970014631	0.616995251898671	-0.0262947281292285	0.435202571314293	"Cav2"	"caveolin 2"
"ENSMUSG00000000078"	0.237317492361764	0.999330785913715	0.000963079737750381	0.987241487959528	-0.0170751276763733	0.744436841554532	"Klf6"	"Kruppel-like factor 6"
"ENSMUSG00000000085"	0.036728157620573	0.999330785913715	-0.0120129693534299	0.621565965352021	-0.00131958087095522	0.99670482805296	"Scmh1"	"sex comb on midleg homolog 1"
"ENSMUSG00000000088"	-0.263088257885815	0.999330785913715	-0.0188781582690323	0.19912745775599	0.010217841928941	0.913079029433749	"Cox5a"	"cytochrome c oxidase subunit Va"
"ENSMUSG00000000093"	-1.2381094099444	0.999330785913715	0.0206259339030049	0.895688308761697	0.0744445692218868	0.628423912548253	"Tbx2"	"T-box 2"
"ENSMUSG00000000120"	-0.747601853676166	0.999330785913715	-0.024180221413396	0.694928229628884	0.0472020120694174	0.640151374353004	"Ngfr"	"nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125"	-0.0716133309367218	0.999330785913715	0.0395300462399895	0.352372704761136	0.000734860491102475	0.999131243328184	"Wnt3"	"wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126"	-0.128706151499876	0.999330785913715	-0.024089606209009	0.444787571077795	-0.00199332905384488	0.996844767364952	"Wnt9a"	"wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127"	0.244295735102706	0.999330785913715	0.00401967433312577	0.973447279349979	-0.0197760011249051	0.872835314297982	"Fer"	"fer (fms/fps related) protein kinase"
"ENSMUSG00000000131"	-0.0569824952157044	0.999330785913715	0.00342974237378298	0.942970642279232	0.00548590877877601	0.960714577805457	"Xpo6"	"exportin 6"
"ENSMUSG00000000134"	-0.229063020308672	0.999330785913715	-0.0117369271360911	0.676953895064885	0.016183201353213	0.829065481797589	"Tfe3"	"transcription factor E3"
