"Genes"	"Main-effect Genotype (logFC)"	"Main-effect Gentyope (FDR)"	"Main-effect Age (logFC)"	"Main-effect Age (FDR)"	"Linear Effect (logFC)"	"Linear Effect (FDR)"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000001"	-0.172557093977679	0.886853403927347	-0.0406436150474314	0.230762109435008	0.0290777048011044	0.999905587128637	"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"ENSMUSG00000000028"	0.186635389851506	0.986106121315864	-0.00051975344455259	0.998350296345284	-0.057887266255297	0.999905587128637	"Cdc45"	"cell division cycle 45"
"ENSMUSG00000000037"	0.872860061005583	0.735792623868954	0.0552085201029356	0.762379842004322	-0.160794252475607	0.999905587128637	"Scml2"	"sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000056"	-0.0797990657893756	0.967813825235502	-0.0131033040849439	0.768049417132973	-0.00721585402317277	0.999905587128637	"Narf"	"nuclear prelamin A recognition factor"
"ENSMUSG00000000058"	-0.119810299139731	0.940731096182897	-0.0542321503154762	0.063916518957706	0.033723245490227	0.999905587128637	"Cav2"	"caveolin 2"
"ENSMUSG00000000078"	0.153548046953322	0.910128859519769	0.0597968876787928	0.0290643737849475	-0.0186048430645949	0.999905587128637	"Klf6"	"Kruppel-like factor 6"
"ENSMUSG00000000085"	0.202785529705275	0.832689995791672	-0.010782905783972	0.82998808094211	-0.0364529595758956	0.999905587128637	"Scmh1"	"sex comb on midleg homolog 1"
"ENSMUSG00000000088"	0.0324182735432325	0.992403500608295	0.0275517096847032	0.457812490119412	-0.0210487445569195	0.999905587128637	"Cox5a"	"cytochrome c oxidase subunit Va"
"ENSMUSG00000000093"	0.301210291197704	0.970303781928511	-0.0291866763531916	0.885247828642231	-0.0990659070391465	0.999905587128637	"Tbx2"	"T-box 2"
"ENSMUSG00000000120"	-0.0151818976878946	0.998644145124142	0.0235841445432271	0.84129799860421	-0.0312441354666559	0.999905587128637	"Ngfr"	"nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125"	-0.0264318634971757	0.998644145124142	-0.101523953296073	0.229178115631951	0.0123671962107234	0.999905587128637	"Wnt3"	"wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126"	-0.109237598142195	0.978160526703018	0.0201147680899022	0.801755339113854	0.0126219651325927	0.999905587128637	"Wnt9a"	"wingless-type MMTV integration site family, member 9A"
