"Genes"	"Main-effect Genotype (logFC)"	"Main-effect Gentyope (FDR)"	"Main-effect Age (logFC)"	"Main-effect Age (FDR)"	"Linear Effect (logFC)"	"Linear Effect (FDR)"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000001"	-0.137663848218153	0.832901608963418	-0.0162574460190348	0.230762110009921	0.0116310819208646	0.999905579367304	"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"ENSMUSG00000000028"	0.117170670345206	0.985789206629355	-0.000207901377786183	0.998350296345628	-0.0231549065016998	0.999905579367304	"Cdc45"	"cell division cycle 45"
"ENSMUSG00000000037"	0.679906958033836	0.657295104993068	0.0220834080414964	0.762379842049848	-0.0643177009902239	0.999905579367304	"Scml2"	"sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000056"	-0.0884580906225504	0.911081008941384	-0.00524132163401832	0.76804941749719	-0.00288634160842289	0.999905579367304	"Narf"	"nuclear prelamin A recognition factor"
"ENSMUSG00000000058"	-0.0793424045545011	0.939715273416073	-0.0216928601264772	0.0639165192551364	0.0134892981967484	0.999905579367304	"Cav2"	"caveolin 2"
"ENSMUSG00000000078"	0.131222235272232	0.843142201328064	0.0239187550712634	0.0290643739808963	-0.00744193722551837	0.999905579367304	"Klf6"	"Kruppel-like factor 6"
"ENSMUSG00000000085"	0.159041978215926	0.763658478140789	-0.00431316231368746	0.82998808125084	-0.0145811838305894	0.999905579367304	"Scmh1"	"sex comb on midleg homolog 1"
"ENSMUSG00000000088"	0.00715978007435759	0.994944955876663	0.0110206838740814	0.457812491275615	-0.00841949782261149	0.999905579367304	"Cox5a"	"cytochrome c oxidase subunit Va"
"ENSMUSG00000000093"	0.182331202755374	0.961091748130979	-0.0116746705410427	0.885247828566435	-0.0396263628163821	0.999905579367304	"Tbx2"	"T-box 2"
"ENSMUSG00000000120"	-0.0526748602490493	0.988023693170002	0.00943365781722906	0.841297998568643	-0.012497654186472	0.999905579367304	"Ngfr"	"nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125"	-0.0115912280444071	0.997414541495143	-0.0406095813184429	0.229178116346204	0.00494687848425963	0.999905579367304	"Wnt3"	"wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126"	-0.094091239981493	0.956222509987605	0.00804590723625997	0.801755338928012	0.00504878605280924	0.999905579367304	"Wnt9a"	"wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127"	0.10316263507536	0.951285982395686	-0.00407959386669895	0.905525167347137	-0.00793630247169644	0.999905579367304	"Fer"	"fer (fms/fps related) protein kinase"
"ENSMUSG00000000131"	0.0942935077554827	0.892001851850318	0.0110811078956905	0.37312629514803	-0.00635797806076797	0.999905579367304	"Xpo6"	"exportin 6"
"ENSMUSG00000000134"	0.150882108180968	0.824009555141235	0.00859156534146902	0.642603183792313	-0.01384387321761	0.999905579367304	"Tfe3"	"transcription factor E3"
"ENSMUSG00000000142"	0.0775542225153567	0.953082390858899	0.00384468547150405	0.893391877840845	-0.00792321176254111	0.999905579367304	"Axin2"	"axin2"
"ENSMUSG00000000148"	0.212924372351304	0.723376482172264	0.00815721076594124	0.724910309146461	-0.0234112528055238	0.999905579367304	"Brat1"	"BRCA1-associated ATM activator 1"
"ENSMUSG00000000149"	-0.0839931754428618	0.905023365939464	-0.0324022290439841	9.40112910838217e-05	-0.00136998018528927	0.999905579367304	"Gna12"	"guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000154"	0.11510695866164	0.992348894220561	0.0731952245017908	0.500449062700943	-0.0436506917882565	0.999905579367304	"Slc22a18"	"solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000167"	-0.169304206504986	0.964574462997485	-0.0257114602795543	0.67462570509347	0.0336629166577453	0.999905579367304	"Pih1d2"	"PIH1 domain containing 2"
"ENSMUSG00000000168"	0.039306767588505	0.969649997469699	0.00068225797746483	0.973107249648059	-0.00281184307233722	0.999905579367304	"Dlat"	"dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171"	-0.056278596315839	0.953082390858899	-0.0111540513878791	0.393328365107707	0.00443762371551621	0.999905579367304	"Sdhd"	"succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000182"	0.545520894079294	0.953082390858899	-0.0322782134314443	0.885230921426305	0.00379075117984293	0.999905579367304	"Fgf23"	"fibroblast growth factor 23"
"ENSMUSG00000000184"	-0.143539393012084	0.756674710378149	-0.0252140277093205	0.00702035701959657	0.001362564513269	0.999905579367304	"Ccnd2"	"cyclin D2"
"ENSMUSG00000000194"	-0.0109348360306124	0.992509509026935	-0.0076702784172387	0.631069090575667	-0.00338426087889118	0.999905579367304	"Gpr107"	"G protein-coupled receptor 107"
"ENSMUSG00000000197"	0.128934652617238	0.793368090952678	0.0167876200120176	0.10084634920082	-0.00857877135124048	0.999905579367304	"Nalcn"	"sodium leak channel, non-selective"
"ENSMUSG00000000202"	-0.256945515316176	0.792647163913186	-0.0552982602746211	0.00154890719573587	0.0147371033003896	0.999905579367304	"Btbd17"	"BTB (POZ) domain containing 17"
"ENSMUSG00000000214"	-0.24810901978451	0.819177643456926	-0.00504084936131813	0.893970049155863	0.0455650761820519	0.999905579367304	"Th"	"tyrosine hydroxylase"
"ENSMUSG00000000223"	0.0822316452516011	0.911543780768094	0.00661631300446422	0.659434608661134	-0.00602798192317495	0.999905579367304	"Drp2"	"dystrophin related protein 2"
"ENSMUSG00000000247"	-0.115185161446624	0.891243204606264	-0.0120402029065859	0.44110608638339	-0.0136063504005968	0.999905579367304	"Lhx2"	"LIM homeobox protein 2"
"ENSMUSG00000000253"	-0.125164638612587	0.891243204606264	-0.00238896198301924	0.926084382870634	0.0102732171962152	0.999905579367304	"Gmpr"	"guanosine monophosphate reductase"
"ENSMUSG00000000263"	-0.144841479682267	0.970598821948806	-0.00703477943295162	0.924059497613795	0.022765483944125	0.999905579367304	"Glra1"	"glycine receptor, alpha 1 subunit"
"ENSMUSG00000000266"	0.111328561713827	0.895475452241629	0.019219543916995	0.138352683787795	-0.00273618239560456	0.999905579367304	"Mid2"	"midline 2"
"ENSMUSG00000000275"	-0.301118817923867	0.741011959745941	-0.0824013352080519	3.92082842263304e-06	0.0319960245773527	0.999905579367304	"Trim25"	"tripartite motif-containing 25"
"ENSMUSG00000000276"	0.05852877236315	0.951285982395686	0.0138632205014256	0.225931815721923	0.00209758484526301	0.999905579367304	"Dgke"	"diacylglycerol kinase, epsilon"
"ENSMUSG00000000278"	-0.0801100221118556	0.960597153418421	-0.0160898164452559	0.509237397901937	0.0191729170318165	0.999905579367304	"Scpep1"	"serine carboxypeptidase 1"
"ENSMUSG00000000282"	-0.105274271560491	0.904399316726595	0.00358538728318109	0.872585351676663	0.0109697607256772	0.999905579367304	"Mnt"	"max binding protein"
"ENSMUSG00000000290"	-0.243935582859698	0.908614946590497	-0.00370602078249981	0.94942496608992	0.020232470140595	0.999905579367304	"Itgb2"	"integrin beta 2"
