"Genes"	"Main-effect Genotype (logFC)"	"Main-effect Gentyope (FDR)"	"Main-effect Age (logFC)"	"Main-effect Age (FDR)"	"Linear Effect (logFC)"	"Linear Effect (FDR)"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000001"	-0.0909312554938157	0.999768123831024	-0.0124207847344355	0.0190717914537403	0.00658338069944877	0.827535003843456	"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"ENSMUSG00000000028"	-0.147398055268339	0.999768123831024	-0.00870826193339645	0.805759922233017	0.0274966194809916	0.753110535076326	"Cdc45"	"cell division cycle 45"
"ENSMUSG00000000037"	0.309754498455237	0.999768123831024	-0.00527120083417873	0.895627641435398	-0.00497157759930374	0.979697798944495	"Scml2"	"sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000056"	-0.110548187503996	0.999768123831024	-0.00944951423054786	0.0714842118094705	0.00170478509963271	0.974149887710075	"Narf"	"nuclear prelamin A recognition factor"
"ENSMUSG00000000058"	0.0529513300262088	0.999768123831024	-0.000811854126257393	0.94496318856327	-0.00767455779524711	0.760312103543976	"Cav2"	"caveolin 2"
"ENSMUSG00000000078"	0.123098998813238	0.999768123831024	0.00909166607891176	0.105575988855071	-0.0118336786086857	0.396577390335687	"Klf6"	"Kruppel-like factor 6"
"ENSMUSG00000000085"	0.091868130657907	0.999768123831024	-0.0090070734199345	0.126195751493505	-0.00384740985558473	0.937874848663381	"Scmh1"	"sex comb on midleg homolog 1"
"ENSMUSG00000000088"	-0.0677945446805466	0.999768123831024	-0.00480648268647032	0.530582684445393	0.00027324605215151	0.996286444666221	"Cox5a"	"cytochrome c oxidase subunit Va"
"ENSMUSG00000000093"	-0.163410776991123	0.999768123831024	0.00289980068094547	0.942996261168659	0.0238125074921049	0.79343605321721	"Tbx2"	"T-box 2"
"ENSMUSG00000000120"	-0.22463106127798	0.999768123831024	-0.0113076642210012	0.510556020326367	0.0223685265780032	0.586385910351713	"Ngfr"	"nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125"	0.0187212181322305	0.999768123831024	0.00760657351148587	0.711415195518369	-0.00440219146497325	0.973976754498423	"Wnt3"	"wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126"	-0.0760730781713365	0.999768123831024	-0.00998685209464013	0.380992447972257	-0.0057024070134869	0.950517441026205	"Wnt9a"	"wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127"	0.107223721999453	0.999768123831024	0.00218647183376146	0.895627641435398	-0.0134308136431105	0.676051467173711	"Fer"	"fer (fms/fps related) protein kinase"
"ENSMUSG00000000131"	0.0452451701639676	0.999768123831024	0.0055787819182803	0.36587602055316	0.000451959152309229	0.991838062546278	"Xpo6"	"exportin 6"
