"Genes"	"logFC: Linear Effect Age:Genotype"	"FDR:  Linear Effect Age:Genotype"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000560"	-0.0665442444654949	3.57988043265262e-06	"Gabra2"	"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
"ENSMUSG00000002831"	0.105457668653591	8.51700746133915e-05	"Plin4"	"perilipin 4"
"ENSMUSG00000002910"	0.0571286015690112	0.0427482035685898	"Arrdc2"	"arrestin domain containing 2"
"ENSMUSG00000002985"	0.0312856180111129	0.00153678814433645	"Apoe"	"apolipoprotein E"
"ENSMUSG00000004902"	0.0381016493274079	0.0316623418603307	"Slc25a18"	"solute carrier family 25 (mitochondrial carrier), member 18"
"ENSMUSG00000005142"	0.0424785952483693	0.00579898905730819	"Man2b1"	"mannosidase 2, alpha B1"
"ENSMUSG00000007891"	0.0397158931100213	0.000257833083037535	"Ctsd"	"cathepsin D"
"ENSMUSG00000018339"	0.0602992380205744	0.0274142453702837	"Gpx3"	"glutathione peroxidase 3"
"ENSMUSG00000018774"	0.104539912564542	0.000113996503350597	"Cd68"	"CD68 antigen"
"ENSMUSG00000019970"	0.0312693521904835	0.0299402899021459	"Sgk1"	"serum/glucocorticoid regulated kinase 1"
"ENSMUSG00000020102"	-0.0589195223000444	0.0437906640236405	"Slc16a7"	"solute carrier family 16 (monocarboxylic acid transporters), member 7"
"ENSMUSG00000020423"	0.0705104076021197	0.000512488200876487	"Btg2"	"B cell translocation gene 2, anti-proliferative"
"ENSMUSG00000020932"	0.11539590498415	1.22052580733867e-41	"Gfap"	"glial fibrillary acidic protein"
"ENSMUSG00000021091"	0.135752258008281	5.53053060496008e-26	"Serpina3n"	"serine (or cysteine) peptidase inhibitor, clade A, member 3N"
"ENSMUSG00000021190"	0.0364395545733795	0.0162402638163628	"Lgmn"	"legumain"
"ENSMUSG00000021250"	0.0671914979053734	6.63233585339358e-05	"Fos"	"FBJ osteosarcoma oncogene"
"ENSMUSG00000021477"	0.040349222631894	0.00500997616687188	"Ctsl"	"cathepsin L"
"ENSMUSG00000022037"	0.0360499165831749	0.000220676943681961	"Clu"	"clusterin"
"ENSMUSG00000022146"	0.121782444575552	7.18018027146437e-06	"Osmr"	"oncostatin M receptor"
"ENSMUSG00000022469"	0.0412168051217467	0.0316623418603307	"Rapgef3"	"Rap guanine nucleotide exchange factor (GEF) 3"
"ENSMUSG00000022548"	0.0612041177188625	1.15919300969192e-10	"Apod"	"apolipoprotein D"
"ENSMUSG00000022602"	0.0411752646665626	0.00257520523217385	"Arc"	"activity regulated cytoskeletal-associated protein"
"ENSMUSG00000022996"	0.161436282635434	0.00170463828672985	"Wnt10b"	"wingless-type MMTV integration site family, member 10B"
"ENSMUSG00000023992"	0.0795899031158017	0.000134454950883712	"Trem2"	"triggering receptor expressed on myeloid cells 2"
"ENSMUSG00000024621"	0.0402583121351189	0.00433534850611432	"Csf1r"	"colony stimulating factor 1 receptor"
"ENSMUSG00000024978"	0.0352265911262744	0.0476220479611215	"Gpam"	"glycerol-3-phosphate acyltransferase, mitochondrial"
