"Genes"	"logFC: Main-effect Age"	"FDR: Main-effect Age"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000154"	0.125739499507699	0.0216477951207343	"Slc22a18"	"solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000184"	-0.0454915031708903	1.10624473035054e-08	"Ccnd2"	"cyclin D2"
"ENSMUSG00000000275"	0.0484078067466298	0.0250303463535913	"Trim25"	"tripartite motif-containing 25"
"ENSMUSG00000000303"	0.0903994927774901	0.0220081709343606	"Cdh1"	"cadherin 1"
"ENSMUSG00000000416"	-0.0207118691427479	0.0403308863090228	"Cttnbp2"	"cortactin binding protein 2"
"ENSMUSG00000000732"	0.0483561112467339	0.028599412232708	"Icosl"	"icos ligand"
"ENSMUSG00000001020"	0.101728319779268	0.0376045023760463	"S100a4"	"S100 calcium binding protein A4"
"ENSMUSG00000001119"	0.0217107684056773	0.0339972539549587	"Col6a1"	"collagen, type VI, alpha 1"
"ENSMUSG00000001123"	0.0802909614633534	0.000100040496253483	"Lgals9"	"lectin, galactose binding, soluble 9"
"ENSMUSG00000001467"	-0.030075231486246	0.000570899994668911	"Cyp51"	"cytochrome P450, family 51"
"ENSMUSG00000001930"	0.093662949267044	9.44132190600474e-27	"Vwf"	"Von Willebrand factor homolog"
"ENSMUSG00000002083"	-0.0701127377645046	0.0291684726790279	"Bbc3"	"BCL2 binding component 3"
"ENSMUSG00000002147"	0.0432064217780095	0.00854807776965023	"Stat6"	"signal transducer and activator of transcription 6"
"ENSMUSG00000002289"	0.101879583359368	0.00300028698553875	"Angptl4"	"angiopoietin-like 4"
"ENSMUSG00000002341"	-0.0301234102690324	0.000113945975890429	"Ncan"	"neurocan"
"ENSMUSG00000002831"	0.166751579203361	4.30497749245312e-32	"Plin4"	"perilipin 4"
"ENSMUSG00000003617"	0.0493394691595736	0.000121899154851538	"Cp"	"ceruloplasmin"
"ENSMUSG00000004044"	0.0397887615252769	0.0042712622727129	"Ptrf"	"polymerase I and transcript release factor"
"ENSMUSG00000004328"	0.0909945652797781	2.56778640833034e-11	"Hif3a"	"hypoxia inducible factor 3, alpha subunit"
"ENSMUSG00000004894"	0.0385080616621231	0.000288953867715642	"Hapln2"	"hyaluronan and proteoglycan link protein 2"
"ENSMUSG00000005483"	-0.028267797987659	0.00723352482762856	"Dnajb1"	"DnaJ (Hsp40) homolog, subfamily B, member 1"
"ENSMUSG00000005580"	0.0248592941738305	0.0118285191359459	"Adcy9"	"adenylate cyclase 9"
"ENSMUSG00000006205"	0.0264423832489591	0.00393156982154578	"Htra1"	"HtrA serine peptidase 1"
"ENSMUSG00000007617"	0.0205283980950464	0.0384747290923554	"Homer1"	"homer homolog 1 (Drosophila)"
"ENSMUSG00000007682"	-0.031527029765078	0.000570899994668911	"Dio2"	"deiodinase, iodothyronine, type II"
"ENSMUSG00000009185"	0.258552658751495	0.00134276331977108	"Ccl8"	"C-C motif chemokine 8"
"ENSMUSG00000009376"	-0.0513440753492174	0.0492103090165151	"Met"	"met proto-oncogene"
"ENSMUSG00000010461"	0.0599341861762866	0.0112852121244417	"Eya4"	"eyes absent 4 homolog (Drosophila)"
