"Genes"	"Main-effect Genotype (logFC)"	"Main-effect Gentyope (FDR)"	"Main-effect Age (logFC)"	"Main-effect Age (FDR)"	"Linear Effect (logFC)"	"Linear Effect (FDR)"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000001"	0.00508693112465779	0.999980159084512	-0.00487130528148609	0.961522811115291	-0.000264278015214588	0.999681994871666	"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"ENSMUSG00000000028"	-0.97677600881388	0.999980159084512	-0.0615682200455339	0.811203064769849	0.0680511053369284	0.999681994871666	"Cdc45"	"cell division cycle 45"
"ENSMUSG00000000037"	-1.04204180033374	0.999980159084512	-0.112237646885052	0.463241418155379	0.0791628351016248	0.999681994871666	"Scml2"	"sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000056"	-0.237231984746068	0.999980159084512	-0.0135585039407426	0.823239274294365	0.00951123007190602	0.999681994871666	"Narf"	"nuclear prelamin A recognition factor"
"ENSMUSG00000000058"	0.20067861486843	0.999980159084512	0.0126990465388807	0.864604068910913	-0.00984557581802171	0.999681994871666	"Cav2"	"caveolin 2"
"ENSMUSG00000000078"	0.305585605988954	0.999980159084512	0.00916940609486157	0.906180514212843	-0.0219723891597723	0.999681994871666	"Klf6"	"Kruppel-like factor 6"
"ENSMUSG00000000085"	-0.223139895940754	0.999980159084512	-0.0224697837087974	0.62400866086855	0.017266842941359	0.999681994871666	"Scmh1"	"sex comb on midleg homolog 1"
"ENSMUSG00000000088"	0.0626651193091455	0.999980159084512	-0.00280438292253412	0.978692385727223	-0.0130454920280195	0.999681994871666	"Cox5a"	"cytochrome c oxidase subunit Va"
"ENSMUSG00000000093"	-1.04007093398212	0.999980159084512	-0.0236598305835474	0.951432056820526	0.0621998382507874	0.999681994871666	"Tbx2"	"T-box 2"
"ENSMUSG00000000120"	-0.916215606809678	0.999980159084512	-0.0383824738238192	0.786307823924152	0.0594764318261737	0.999681994871666	"Ngfr"	"nerve growth factor receptor (TNFR superfamily, member 16)"
