"Genes"	"logFC: Main-effect Age"	"FDR: Main-effect Age"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000184"	-0.0271409099871542	5.09790216936771e-07	"Ccnd2"	"cyclin D2"
"ENSMUSG00000000275"	0.0323240510317472	0.0285323885456813	"Trim25"	"tripartite motif-containing 25"
"ENSMUSG00000001020"	0.0708899424150659	0.0343713612035763	"S100a4"	"S100 calcium binding protein A4"
"ENSMUSG00000001123"	0.0499658483303788	0.000596388553081082	"Lgals9"	"lectin, galactose binding, soluble 9"
"ENSMUSG00000001467"	-0.018979298908574	0.00162511391218465	"Cyp51"	"cytochrome P450, family 51"
"ENSMUSG00000001930"	0.0566218694709119	1.53883281010497e-21	"Vwf"	"Von Willebrand factor homolog"
"ENSMUSG00000002147"	0.0276631370824006	0.0162971321677465	"Stat6"	"signal transducer and activator of transcription 6"
"ENSMUSG00000002289"	0.0600025855794534	0.0191327536151973	"Angptl4"	"angiopoietin-like 4"
"ENSMUSG00000002341"	-0.0184690210310304	0.000770866836486561	"Ncan"	"neurocan"
"ENSMUSG00000002831"	0.0987752158596762	4.00890790159679e-24	"Plin4"	"perilipin 4"
"ENSMUSG00000003617"	0.0286830425390742	0.0021194451543603	"Cp"	"ceruloplasmin"
"ENSMUSG00000004044"	0.0229665227685461	0.027446696757571	"Ptrf"	"polymerase I and transcript release factor"
"ENSMUSG00000004328"	0.0456625963604221	4.93642690147433e-06	"Hif3a"	"hypoxia inducible factor 3, alpha subunit"
"ENSMUSG00000004894"	0.0253315716634746	0.000418297533966687	"Hapln2"	"hyaluronan and proteoglycan link protein 2"
"ENSMUSG00000005580"	0.0153190043341694	0.030952848560112	"Adcy9"	"adenylate cyclase 9"
"ENSMUSG00000006205"	0.0189143791673679	0.00154577420113912	"Htra1"	"HtrA serine peptidase 1"
"ENSMUSG00000006678"	0.037551227219625	0.0494871327221226	"Pola1"	"polymerase (DNA directed), alpha 1"
"ENSMUSG00000007617"	0.0163586640399491	0.0073254034945967	"Homer1"	"homer homolog 1 (Drosophila)"
"ENSMUSG00000007682"	-0.0179666625952171	0.00738695326979055	"Dio2"	"deiodinase, iodothyronine, type II"
"ENSMUSG00000009185"	0.17317387658259	0.00414179085469921	"Ccl8"	"C-C motif chemokine 8"
"ENSMUSG00000009376"	-0.0351346781846847	0.0375046370819367	"Met"	"met proto-oncogene"
"ENSMUSG00000010461"	0.0395062654658172	0.0161687550251484	"Eya4"	"eyes absent 4 homolog (Drosophila)"
"ENSMUSG00000013089"	0.0197356362106149	0.00314387463967323	"Etv5"	"ets variant 5"
"ENSMUSG00000013523"	0.0169264620068001	0.00484679736184944	"Bcas1"	"breast carcinoma amplified sequence 1"
"ENSMUSG00000013584"	0.0362651780515288	0.0164216411702072	"Aldh1a2"	"aldehyde dehydrogenase family 1, subfamily A2"
"ENSMUSG00000014329"	0.0371013333599707	0.0150539542054337	"Bicc1"	"bicaudal C homolog 1 (Drosophila)"
"ENSMUSG00000015090"	0.0169662934103763	0.000102689087487972	"Ptgds"	"prostaglandin D2 synthase (brain)"
"ENSMUSG00000015243"	0.0156678495509369	0.030952848560112	"Abca1"	"ATP-binding cassette, sub-family A (ABC1), member 1"
"ENSMUSG00000015340"	0.0842367206637157	0.0181984765238425	"Cybb"	"cytochrome b-245, beta polypeptide"
"ENSMUSG00000015355"	0.113200416597159	0.00372493353614941	"Cd48"	"CD48 antigen"
"ENSMUSG00000015950"	0.0366891487517314	0.0343713612035763	"Ncf1"	"neutrophil cytosolic factor 1"
"ENSMUSG00000016179"	0.0208888166790112	0.00960330276341574	"Camk1g"	"calcium/calmodulin-dependent protein kinase I gamma"
