"Genes"	"logFC: 6M WT vs 2M WT"	"FDR: 6M WT vs 2M WT"	"logFC: 18M WT vs 6M WT"	"FDR: 18M WT vs 6M WT"	"logFC: 24M WT vs 18M WT"	"FDR: 24M WT vs 18M WT"	"logFC: 24M WT vs 2M WT"	"FDR: 24M WT vs 2M WT"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000001"	0.162617793283742	0.240237342387366	0.0293194594430123	0.96058223310035	0.149228043297289	0.436298393360261	0.341165296024043	0.00153276230868285	"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"ENSMUSG00000000028"	0.00266296251309168	0.997038294746993	0.374623572942282	0.751127517395076	-0.32487966524363	0.669260122429632	0.0524068702117436	0.93300871372824	"Cdc45"	"cell division cycle 45"
"ENSMUSG00000000037"	-0.223898122982696	0.768357976897053	0.676649257147789	0.532417997124871	-0.645658976305487	0.394242750140566	-0.192907842140394	0.761014846611547	"Scml2"	"sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000056"	0.052515030831661	0.813213209019401	0.0824904253411622	0.863845918583282	0.0903244382055593	0.719290086947837	0.225329894378382	0.0820578892742356	"Narf"	"nuclear prelamin A recognition factor"
"ENSMUSG00000000058"	0.215854911803259	0.0202370593342583	-0.0761757776125908	0.805074108530056	-0.0697270088305716	0.692793596310087	0.069952125360097	0.539513745581406	"Cav2"	"caveolin 2"
"ENSMUSG00000000078"	-0.239236435024944	0.0275565279562274	-0.0550192673215707	0.894162937503659	0.0444200951767458	0.853520991689448	-0.249835607169769	0.0133655482584137	"Klf6"	"Kruppel-like factor 6"
"ENSMUSG00000000085"	0.0429070189209145	0.795660027910498	0.135146880673963	0.548004644410932	0.00797236655903454	0.979002869828041	0.186026266153912	0.0589738521442185	"Scmh1"	"sex comb on midleg homolog 1"
"ENSMUSG00000000088"	-0.110563604790431	0.510568461025498	0.0169087312644667	0.978642558514872	0.214040047349688	0.209405943798617	0.120385173823724	0.400893396631919	"Cox5a"	"cytochrome c oxidase subunit Va"
"ENSMUSG00000000093"	0.111856393572896	0.907115560971907	0.141500592562217	0.951595330085657	-0.398611145488831	0.66937792635853	-0.145254159353718	0.841855909004102	"Tbx2"	"T-box 2"
"ENSMUSG00000000120"	-0.0949839487945557	0.847502935420515	0.230660373659828	0.802246793186248	0.0526488045778771	0.944366893524347	0.188325229443149	0.606835661624064	"Ngfr"	"nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125"	0.40623213172808	0.206419693062666	-0.24841350533532	0.782140363117758	-0.227816496927279	0.636901238094217	-0.0699978705345188	0.861327945601133	"Wnt3"	"wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126"	-0.0804057739195507	0.793306487016574	0.123749945798641	0.847263915146947	0.166021207975598	0.617565521715322	0.209365379854689	0.31218375602407	"Wnt9a"	"wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127"	0.0389134351326567	0.863266597262891	-0.101059594659178	0.800667987922171	0.0546466649884348	0.848512128894207	-0.00749949453808604	0.973635869912535	"Fer"	"fer (fms/fps related) protein kinase"
"ENSMUSG00000000131"	-0.110716259120613	0.285928272142117	-0.0245775381256946	0.951376249271059	-0.01680354954628	0.939010369548591	-0.152097346792587	0.0764586938815342	"Xpo6"	"exportin 6"
"ENSMUSG00000000134"	-0.0865208677489453	0.534954842069251	0.0419436034288471	0.920619921389724	0.0999284284212511	0.572133653165717	0.0553511641011529	0.683424976414055	"Tfe3"	"transcription factor E3"
"ENSMUSG00000000142"	-0.0384517852282731	0.885754754369617	0.0403436282420263	0.951473803804889	0.109121022010496	0.692793596310087	0.111012865024249	0.53946957991419	"Axin2"	"axin2"
"ENSMUSG00000000148"	-0.0815632276378811	0.707167509499464	0.138355308050301	0.726192644924583	-0.0980911854124969	0.714048149924311	-0.0412991050000769	0.83890329105473	"Brat1"	"BRCA1-associated ATM activator 1"
"ENSMUSG00000000149"	0.323992083686267	0.0220198328025479	-0.130978527740902	0.759981059450482	0.16449238058653	0.466400199824168	0.357505936531895	0.00534744034643564	"Gna12"	"guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000154"	-0.731785297260069	0.475104255860799	-0.130249164034944	0.967885426945744	-1.27706719976361	0.0691642950780353	-2.13910166105862	0.000183366977951871	"Slc22a18"	"solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000167"	0.259884930256267	0.59499799597216	-0.0539974134179972	0.974806400261035	-0.00417591443613427	0.998015622449408	0.201711602402136	0.649336266579938	"Pih1d2"	"PIH1 domain containing 2"
"ENSMUSG00000000168"	-0.0069189907538514	0.969726101884302	0.0077961583162912	0.98679371781158	-0.0440780301030383	0.819249546892614	-0.0432008625405985	0.715479228122482	"Dlat"	"dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171"	0.111516581903697	0.345140645259903	0.0146577994548719	0.974952484792607	0.0125257591660944	0.96023366441138	0.138700140524663	0.162763269888659	"Sdhd"	"succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000182"	0.320956807983947	0.881342457750687	-0.786560930507154	0.836200405931743	-0.760367279947708	0.653003902101829	-1.22597140247091	0.251622298706376	"Fgf23"	"fibroblast growth factor 23"
"ENSMUSG00000000184"	0.251834426001447	0.227955213867615	0.135207299943563	0.829623433682071	0.420799603771279	0.0475340574049053	0.807841329716289	5.30619431608021e-08	"Ccnd2"	"cyclin D2"
"ENSMUSG00000000194"	0.0770948646760326	0.471919092655895	-0.0770047404581929	0.74491116876117	0.0143304910731046	0.944799346141962	0.0144206152909443	0.909161453735002	"Gpr107"	"G protein-coupled receptor 107"
"ENSMUSG00000000197"	-0.167870657349823	0.101600430423147	0.0578212041510252	0.871608919684137	0.00365605886604041	0.98981300303265	-0.106393394332757	0.303956007472249	"Nalcn"	"sodium leak channel, non-selective"
"ENSMUSG00000000202"	0.552643637302622	0.00714170008130384	-0.25999698832912	0.633977280986066	0.312514343731088	0.344968248657433	0.60516099270459	0.00178079604265672	"Btbd17"	"BTB (POZ) domain containing 17"
"ENSMUSG00000000214"	0.0417095760941353	0.942564868446654	0.410162574247778	0.549021366378593	-0.419061847541775	0.357386630116388	0.0328103028001382	0.945356551109085	"Th"	"tyrosine hydroxylase"
"ENSMUSG00000000223"	-0.0664192214802765	0.608544852930569	0.168114570803886	0.2961376839421	-0.0311535654584367	0.88506443831794	0.0705417838651724	0.517756249699084	"Drp2"	"dystrophin related protein 2"
"ENSMUSG00000000247"	0.120549017265324	0.467225419151709	-0.126625403039734	0.720416219280882	0.297706448163766	0.0461149191644795	0.291630062389355	0.0144348337976315	"Lhx2"	"LIM homeobox protein 2"
"ENSMUSG00000000253"	0.0240314694911481	0.925417160687254	-0.0486785343421324	0.935411143432802	0.00173276754560863	0.997473681735462	-0.0229142973053757	0.91076561863319	"Gmpr"	"guanosine monophosphate reductase"
"ENSMUSG00000000263"	0.0687923448122955	0.932299957207683	0.0993278487781629	0.962381330009815	-0.469887122508421	0.477796967895814	-0.301766928917963	0.543221488123113	"Glra1"	"glycine receptor, alpha 1 subunit"
"ENSMUSG00000000266"	-0.191702483168442	0.186368533154783	0.0434604784551355	0.942999172678011	-0.15303663193259	0.436706308632873	-0.301278636645896	0.0101621697744494	"Mid2"	"midline 2"
"ENSMUSG00000000275"	0.824940694081234	5.79403939199311e-08	-0.377363825738852	0.257239355752976	-0.20298769093488	0.492980829639606	0.244589177407503	0.179021372689893	"Trim25"	"tripartite motif-containing 25"
"ENSMUSG00000000276"	-0.138633563006043	0.212921098090232	0.0164433159788379	0.970783373206507	-0.0921197292049881	0.566176754096813	-0.214309976232193	0.0170369934820835	"Dgke"	"diacylglycerol kinase, epsilon"
"ENSMUSG00000000278"	0.160503387174431	0.358628602756779	-0.0180461536085717	0.980911358637472	-0.081689924829659	0.780781134026638	0.0607673087362004	0.749555192068718	"Scpep1"	"serine carboxypeptidase 1"
"ENSMUSG00000000282"	-0.0358771428926634	0.865881780870423	0.00836120537640549	0.98926298020821	-0.0345516879178946	0.903882127021054	-0.0620676254341525	0.686754235812334	"Mnt"	"max binding protein"
"ENSMUSG00000000290"	0.039651093639904	0.955498021988658	-0.258994653120245	0.830782337378342	-0.323398931146162	0.573092190861431	-0.542742490626503	0.118510402876515	"Itgb2"	"integrin beta 2"
"ENSMUSG00000000295"	-0.143445593082617	0.710089557605613	0.250854910374803	0.71692913832816	-0.223626824031074	0.606469435832213	-0.116217506738888	0.720917087182688	"Hddc2"	"HD domain containing 2"
"ENSMUSG00000000296"	-0.176995475497061	0.295819256023233	0.0877538670259941	0.863845918583282	-0.125370197079266	0.610087932705021	-0.214611805550333	0.140837325545007	"Tpd52l1"	"tumor protein D52-like 1"
"ENSMUSG00000000301"	0.320681666673072	0.699733207217212	0.111270952398974	0.965200777943271	-0.433099843062459	0.6615044999937	-0.00114722399041379	0.999045415378905	"Pemt"	"phosphatidylethanolamine N-methyltransferase"
"ENSMUSG00000000303"	0.302422441359428	0.636191040202609	-0.0509250236336319	0.98238512557471	-0.981138014924308	0.0328768797000142	-0.729640597198512	0.0530508834921397	"Cdh1"	"cadherin 1"
"ENSMUSG00000000305"	-0.0194886948305473	0.928284759914488	-0.079679467611413	0.831672738284725	0.0455561219034053	0.860697835894984	-0.0536120405385549	0.719859487449618	"Cdh4"	"cadherin 4"
"ENSMUSG00000000308"	-0.20102747827943	0.0404095811422192	0.0463753173904999	0.9085958707689	0.0267972299464061	0.906749301945309	-0.127854930942524	0.204088025811382	"Ckmt1"	"creatine kinase, mitochondrial 1, ubiquitous"
"ENSMUSG00000000317"	0.0197863902129767	0.981737023291865	0.115049175893676	0.953088154682878	0.233040755834595	0.804208726884528	0.367876321941247	0.4815624622723	"Bcl6b"	"B cell CLL/lymphoma 6, member B"
