"Genes"	"logFC: 2M WT vs 2M HET"	"FDR: 2M WT vs 2M HET"	"logFC: 6M WT vs 6M HET"	"FDR: 6M WT vs 6M HET"	"logFC: 18M WT vs 18M HET"	"FDR: 18M WT vs 18M HET"	"logFC: 24M WT vs 24M HET"	"FDR: 24M WT vs 24M HET"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000001"	-0.114469470870901	0.786752615781855	0.00214316923902332	0.999744995548852	0.000392998242284845	0.999101860564812	0.0765857050284068	0.760446087336277	"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"ENSMUSG00000000028"	0.0693216762543536	0.974689508823066	-0.168914218263956	0.999744995548852	0.254169706717163	0.925169519504595	0.604731999540793	0.249408914326901	"Cdc45"	"cell division cycle 45"
"ENSMUSG00000000037"	0.550385796266423	0.67395643954535	-0.0926002527767832	0.999744995548852	0.383750656708894	0.878940234148108	0.19150552085062	0.849877473609576	"Scml2"	"sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000056"	-0.0951039205986101	0.863834316238589	-0.121957217704921	0.999744995548852	-0.0651421559889412	0.943537646700459	-0.0782219550370428	0.774817353630151	"Narf"	"nuclear prelamin A recognition factor"
"ENSMUSG00000000058"	-0.0517163341707163	0.905437041421601	0.0807245620896613	0.999744995548852	0.0223459656260651	0.977421032238354	-0.237367868506545	0.0408010466652818	"Cav2"	"caveolin 2"
"ENSMUSG00000000078"	0.116395974008266	0.748894723595217	0.0419136118867959	0.999744995548852	-0.0899339216986217	0.854607858801106	-0.16312552728717	0.301894304263338	"Klf6"	"Kruppel-like factor 6"
"ENSMUSG00000000085"	0.129579569547256	0.637733770040928	-0.0156874981243153	0.999744995548852	0.0880812331908483	0.837847340945561	-0.035197864193471	0.88717598282881	"Scmh1"	"sex comb on midleg homolog 1"
"ENSMUSG00000000088"	-0.0097238567089783	0.993091411249896	-0.0936440497293452	0.999744995548852	-0.172382628101471	0.573960793574955	0.0346682222986165	0.911075162302257	"Cox5a"	"cytochrome c oxidase subunit Va"
"ENSMUSG00000000093"	0.109739943411353	0.968054378224179	-0.302156264207932	0.999744995548852	0.0876523187142516	0.986809826676575	0.540422549486408	0.482198934743998	"Tbx2"	"T-box 2"
"ENSMUSG00000000120"	-0.0768234697165294	0.957192310717421	-0.203824637014496	0.999744995548852	0.154497401096105	0.939463041728211	0.355505121388063	0.434911239054195	"Ngfr"	"nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125"	-0.00188939312153668	0.999746801163303	0.047223981500996	0.999744995548852	-0.262003720750457	0.829131692577955	0.0433632734437505	0.949244598087351	"Wnt3"	"wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126"	-0.0840112171224611	0.924728041146831	-0.0334853835220167	0.999744995548852	-0.425292658983272	0.0973510289173055	-0.0348795108760046	0.944929726061588	"Wnt9a"	"wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127"	0.0891880583025629	0.86656039752583	0.00426491745634805	0.999744995548852	-0.117114702066137	0.821272752232749	-0.234089051970077	0.226687895112989	"Fer"	"fer (fms/fps related) protein kinase"
"ENSMUSG00000000131"	0.0816626010375571	0.799516141175397	0.0189143369598142	0.999744995548852	0.0255501075788193	0.97230350496343	0.0832627422983726	0.57035421201661	"Xpo6"	"exportin 6"
"ENSMUSG00000000134"	0.122411756384171	0.690219291918628	-0.0167514077130019	0.999744995548852	0.0239926715889306	0.977421032238354	0.180821789099926	0.213072303990449	"Tfe3"	"transcription factor E3"
"ENSMUSG00000000142"	0.0617119136421391	0.934155616881739	-0.0177364449362229	0.999744995548852	-0.0415658180680405	0.974419190871798	0.0517545451484002	0.884608997464725	"Axin2"	"axin2"
"ENSMUSG00000000148"	0.16605655921006	0.689113716322941	-0.0679754661334185	0.999744995548852	-0.0496216522256067	0.965772887222713	0.0404045217086986	0.904948679402523	"Brat1"	"BRCA1-associated ATM activator 1"
"ENSMUSG00000000149"	-0.0866416988174806	0.895963884090837	-0.0989444021127193	0.999744995548852	-0.0980207789834554	0.901563478981687	-0.0494141831756801	0.880502068769481	"Gna12"	"guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000154"	0.0294286593744853	0.997082424707747	-0.410112420017975	0.999744995548852	0.590747490298044	0.819054082051106	0.37058688462237	0.693050598984939	"Slc22a18"	"solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000167"	-0.10992347179055	0.946806924712614	0.239537607496542	0.999744995548852	-0.101272919980823	0.974015091493302	-0.0668304180743605	0.945501109832259	"Pih1d2"	"PIH1 domain containing 2"
"ENSMUSG00000000168"	0.0336350137172988	0.940571719192818	0.00606466507919198	0.999744995548852	-0.0555759055773704	0.927491589366103	-0.0989315949848814	0.502542254375281	"Dlat"	"dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171"	-0.0473898528358914	0.914712234621975	-0.00324288907150737	0.999744995548852	-0.0152713705668941	0.98687881709993	-0.104187920996071	0.523074163773615	"Sdhd"	"succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000182"	0.551518214802705	0.913147558132179	0.584163120708057	0.999744995548852	0.732703546484425	0.874737803042676	0.801210179170552	0.558172748735621	"Fgf23"	"fibroblast growth factor 23"
"ENSMUSG00000000184"	-0.142357285843243	0.842315507147054	-0.120845097467924	0.999744995548852	-0.1184106269307	0.914381826191765	-0.0782852848300175	0.84516248845446	"Ccnd2"	"cyclin D2"
"ENSMUSG00000000194"	-0.0184688979125817	0.965821802020717	-0.0523398949776714	0.999744995548852	-0.00584488036906639	0.993428977461365	-0.0399025046519676	0.825797170690061	"Gpr107"	"G protein-coupled receptor 107"
"ENSMUSG00000000197"	0.111753950415068	0.704529963999506	0.0259715249907453	0.999744995548852	-0.0262940542756687	0.975226019824344	-0.179686075788917	0.145115675368856	"Nalcn"	"sodium leak channel, non-selective"
"ENSMUSG00000000202"	-0.22777422173955	0.742059563915253	-0.078041601240476	0.999744995548852	-0.386956948998559	0.322180340221291	-0.140838862499261	0.768517108871091	"Btbd17"	"BTB (POZ) domain containing 17"
"ENSMUSG00000000214"	-0.145828466563755	0.916126276886759	0.297484197342857	0.999744995548852	-0.268709179049461	0.849320291192593	-0.200186966050383	0.732803609638635	"Th"	"tyrosine hydroxylase"
"ENSMUSG00000000223"	0.0704013940478624	0.845752569419855	0.010212755229857	0.999744995548852	0.0609988535818422	0.907677731424526	-0.0301808277312782	0.889835903489419	"Drp2"	"dystrophin related protein 2"
"ENSMUSG00000000247"	-0.142610291184437	0.718298751382822	-0.277348837754901	0.999744995548852	-0.234002721957801	0.257100354766971	-0.1527925627522	0.472267051705264	"Lhx2"	"LIM homeobox protein 2"
"ENSMUSG00000000253"	-0.104529500942233	0.84448708245501	-0.00099993124028416	0.999907589514652	-0.0444374122191207	0.967241298313709	0.00227075448846895	0.994857755835452	"Gmpr"	"guanosine monophosphate reductase"
"ENSMUSG00000000263"	-0.094080583024935	0.967892673872387	0.121764531564261	0.999744995548852	-0.3563374211034	0.872846259434244	-0.486789182597215	0.469345655066211	"Glra1"	"glycine receptor, alpha 1 subunit"
"ENSMUSG00000000266"	0.106157785215747	0.832453127233946	0.0781443054484634	0.999744995548852	0.0700569307641763	0.933474489101274	-0.154118588910318	0.432593122851173	"Mid2"	"midline 2"
"ENSMUSG00000000275"	-0.2367755897481	0.619993989171961	0.0867486493100665	0.999744995548852	0.282061029739845	0.432048231776995	0.232439072220071	0.393037110802347	"Trim25"	"tripartite motif-containing 25"
"ENSMUSG00000000276"	0.06272736908926	0.887439898575574	0.0836907929611434	0.999744995548852	-0.0523479006086774	0.939190957792895	-0.0650169721620419	0.725986364298395	"Dgke"	"diacylglycerol kinase, epsilon"
"ENSMUSG00000000278"	-0.042604074013918	0.949976437656843	0.149624446640038	0.999744995548852	0.265160523862032	0.213022414739063	0.329862490367349	0.0465943446496925	"Scpep1"	"serine carboxypeptidase 1"
"ENSMUSG00000000282"	-0.0833885862126173	0.874600907372562	0.0265119290142496	0.999744995548852	0.0525972270370473	0.943537646700459	0.0356566255444374	0.900162122597543	"Mnt"	"max binding protein"
"ENSMUSG00000000290"	-0.202108928940371	0.905437041421601	0.00678887846610866	0.999744995548852	0.800203876659064	0.0485335475471879	0.939486386593164	0.00536178086974011	"Itgb2"	"integrin beta 2"
"ENSMUSG00000000295"	0.0736856260874155	0.950239251917006	-0.21186945842919	0.999744995548852	-0.0873264830321725	0.966145883767656	-0.0552030004594905	0.928002207220043	"Hddc2"	"HD domain containing 2"
"ENSMUSG00000000296"	0.0536276816824425	0.940571719192818	-0.188623522512467	0.999744995548852	-0.0056298023739195	0.996987219728355	-0.171097812982725	0.455988193868795	"Tpd52l1"	"tumor protein D52-like 1"
"ENSMUSG00000000301"	-0.719672557774601	0.644157989962529	-0.139310459345859	0.999744995548852	0.341865236611055	0.922895778220914	-0.315888628140079	0.7819713924524	"Pemt"	"phosphatidylethanolamine N-methyltransferase"
"ENSMUSG00000000303"	0.118985128151018	0.953402669665548	0.272389100656735	0.999744995548852	0.574073404638974	0.568896006706583	-0.153282661803082	0.85097737591884	"Cdh1"	"cadherin 1"
"ENSMUSG00000000305"	0.171890253878287	0.531414473696692	0.0238133027918067	0.999744995548852	-0.0144957636809029	0.988919150089182	0.0324197149701139	0.905891932010885	"Cdh4"	"cadherin 4"
"ENSMUSG00000000308"	-0.0662354757910446	0.878149355568233	-0.0225740754945263	0.999744995548852	0.0105315168389182	0.991317344303667	-0.134931781064408	0.334421331257987	"Ckmt1"	"creatine kinase, mitochondrial 1, ubiquitous"
