"Genes"	"logFC: 6M HET vs 2M HET"	"FDR: 6M HET vs 2M HET"	"logFC: 18M HET vs 6M HET"	"FDR: 18M HET vs 6M HET"	"logFC: 24M HET vs 18M HET"	"FDR: 24M HET vs 18M HET"	"logFC: 24M HET vs 2M HET"	"FDR: 24M HET vs 2M HET"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000001"	0.0460051531738181	0.861982430028385	0.0310696304397508	0.941178017200257	0.0730353365111671	0.693120540660119	0.150110120124736	0.22956961038761	"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"ENSMUSG00000000028"	0.240898857031401	0.745634995083225	-0.0484603520388365	0.975751907642173	-0.675441958067261	0.100260557980502	-0.483003453074696	0.178545835282068	"Cdc45"	"cell division cycle 45"
"ENSMUSG00000000037"	0.41908792606051	0.55020111131944	0.200298347662112	0.88820818522107	-0.453413840447213	0.457263407510069	0.16597243327541	0.7680131198533	"Scml2"	"sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000056"	0.0793683279379714	0.74961706236558	0.0256753636251829	0.961429268520216	0.103404237253661	0.581445266056962	0.208447928816815	0.10562585107094	"Narf"	"nuclear prelamin A recognition factor"
"ENSMUSG00000000058"	0.0834140155428817	0.590556047818468	-0.0177971811489946	0.962704256316198	0.189986825302039	0.082035340181468	0.255603659695926	0.003216186488569	"Cav2"	"caveolin 2"
"ENSMUSG00000000078"	-0.164754072903473	0.237364012309031	0.0768282662638469	0.772639358060091	0.117611700765294	0.403195467503271	0.029685894125668	0.839382549185403	"Klf6"	"Kruppel-like factor 6"
"ENSMUSG00000000085"	0.188174086592486	0.102922970294619	0.031378149358799	0.924509725415548	0.131251463943354	0.301957949280091	0.350803699894639	3.6686880637589e-05	"Scmh1"	"sex comb on midleg homolog 1"
"ENSMUSG00000000088"	-0.0266434117700641	0.92988601028942	0.0956473096365927	0.75394806263739	0.00698919694960033	0.976866239835896	0.0759930948161289	0.616786494554415	"Cox5a"	"cytochrome c oxidase subunit Va"
"ENSMUSG00000000093"	0.52375260119218	0.516143994514365	-0.248307990359966	0.872875336465572	-0.851381376260987	0.125852280085093	-0.575936765428773	0.24154026809498	"Tbx2"	"T-box 2"
"ENSMUSG00000000120"	0.0320172185034105	0.967937527093054	-0.127661664450773	0.882879909766128	-0.148358915714081	0.739053015630316	-0.244003361661443	0.440976686039157	"Ngfr"	"nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125"	0.357118757105547	0.369962398117123	0.0608141969161328	0.957806736261487	-0.533183491121486	0.0923666554151039	-0.115250537099806	0.739099959370729	"Wnt3"	"wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126"	-0.130931607519995	0.694022949167861	0.515557221259897	0.0133223506583955	-0.224391940131669	0.378993483138416	0.160233673608232	0.455456420891167	"Wnt9a"	"wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127"	0.123836575978872	0.530353436451278	0.0203200248633077	0.967316461217562	0.171621014892374	0.312367894077278	0.315777615734554	0.00959292618419141	"Fer"	"fer (fms/fps related) protein kinase"
"ENSMUSG00000000131"	-0.0479679950428698	0.779227686797326	-0.0312133087446996	0.911490747626171	-0.0745161842658333	0.527508179769308	-0.153697488053403	0.0610117717559881	"Xpo6"	"exportin 6"
"ENSMUSG00000000134"	0.0526422963482272	0.801543275453832	0.00119952412691451	0.997798363475107	-0.056900689089744	0.718993948883855	-0.00305886861460229	0.984997470883392	"Tfe3"	"transcription factor E3"
"ENSMUSG00000000142"	0.0409965733500888	0.903336584814512	0.064173001373844	0.885080237205661	0.0158006587940548	0.957258437905578	0.120970233517988	0.464609437774984	"Axin2"	"axin2"
"ENSMUSG00000000148"	0.152468797705598	0.457248064113084	0.120001494142489	0.713883789343897	-0.188117359346802	0.275854606705109	0.0843529325012849	0.609888729489899	"Brat1"	"BRCA1-associated ATM activator 1"
"ENSMUSG00000000149"	0.336294786981505	0.0255855221113052	-0.131902150870166	0.677321584717798	0.115885784778755	0.560997555342373	0.320278420890095	0.0128124011765554	"Gna12"	"guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000154"	-0.292244217867609	0.874354052899532	-1.13110907435096	0.284645282464383	-1.05690659408794	0.0691166290601753	-2.48025988630651	1.66769643848462e-06	"Slc22a18"	"solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000167"	-0.0895761490308258	0.911021441049515	0.286813114059369	0.728902011064094	-0.0386184163425973	0.958794785431321	0.158618548685946	0.734436321352163	"Pih1d2"	"PIH1 domain containing 2"
"ENSMUSG00000000168"	0.0206513578842554	0.924332735548647	0.0694367289728536	0.749743842032945	-0.000722340695527231	0.996374311390094	0.0893657461615817	0.357530016908364	"Dlat"	"dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171"	0.0673696181393127	0.697807917986153	0.0266862809502587	0.935523145183581	0.101442309595271	0.428602475240331	0.195498208684843	0.031799576101914	"Sdhd"	"succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000182"	0.288311902078595	0.90494239824196	-0.935101356283522	0.659183432196467	-0.828873912633835	0.426344472191967	-1.47566336683876	0.0733432182754698	"Fgf23"	"fibroblast growth factor 23"
"ENSMUSG00000000184"	0.230322237626128	0.362192330259319	0.132772829406339	0.76847873673166	0.380674261670597	0.058016258604751	0.743769328703064	6.07682199380068e-07	"Ccnd2"	"cyclin D2"
"ENSMUSG00000000194"	0.110965861741122	0.328873804240428	-0.123499755066798	0.363567026016467	0.0483881153560058	0.699501102430742	0.0358542220303302	0.735688993698443	"Gpr107"	"G protein-coupled receptor 107"
"ENSMUSG00000000197"	-0.0820882319254998	0.596639547114117	0.110086783417439	0.55225251367382	0.157048080379288	0.155897259276716	0.185046631871228	0.038367360712312	"Nalcn"	"sodium leak channel, non-selective"
"ENSMUSG00000000202"	0.402911016803548	0.126959815060355	0.0489183594289627	0.955713337259037	0.0663962572317906	0.870075586602333	0.518225633464301	0.0112847351742051	"Btbd17"	"BTB (POZ) domain containing 17"
"ENSMUSG00000000214"	-0.401603087812477	0.321591991584448	0.976355950640096	0.00104153685560063	-0.487584060540852	0.180352671202368	0.0871688022867666	0.828920891428904	"Th"	"tyrosine hydroxylase"
