"Genes"	"Main-effect Genotype (logFC)"	"Main-effect Gentyope (FDR)"	"Main-effect Age (logFC)"	"Main-effect Age (FDR)"	"Linear Effect (logFC)"	"Linear Effect (FDR)"	"Gene Symbol"	"Gene Description"
"ENSMUSG00000000001"	-0.228191864242602	0.999984713681419	-0.0248719427627589	0.481918575337522	0.0126993000187896	0.999551427825124	"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"ENSMUSG00000000028"	-0.830566635378889	0.999984713681419	0.0523016784065537	0.774864032589379	0.0598595806518802	0.999551427825124	"Cdc45"	"cell division cycle 45"
"ENSMUSG00000000037"	0.95745082174076	0.999984713681419	0.107412846095055	0.413770443267654	-0.0319015931615545	0.999551427825124	"Scml2"	"sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000056"	-0.0276668093577974	0.999984713681419	-0.0151132958716424	0.685556866031568	-0.00212331674177747	0.999551427825124	"Narf"	"nuclear prelamin A recognition factor"
"ENSMUSG00000000058"	0.803306354805453	0.988250828892917	0.0115115229966288	0.808336469961849	-0.0433168052807181	0.82768553086802	"Cav2"	"caveolin 2"
"ENSMUSG00000000078"	0.129400237190357	0.999984713681419	-0.00740946099202604	0.887634440278142	-0.0121804747787118	0.999551427825124	"Klf6"	"Kruppel-like factor 6"
"ENSMUSG00000000085"	0.45784695844915	0.999984713681419	-0.00123056936030009	0.988015374667188	-0.0205715737409814	0.999551427825124	"Scmh1"	"sex comb on midleg homolog 1"
"ENSMUSG00000000088"	-0.792588169007933	0.995537976814422	-0.0357106805407092	0.147728716930412	0.0344650025459142	0.953021569862965	"Cox5a"	"cytochrome c oxidase subunit Va"
"ENSMUSG00000000093"	-1.32985803794506	0.999984713681419	0.0649519739276813	0.653260483832072	0.0783201969280155	0.999551427825124	"Tbx2"	"T-box 2"
"ENSMUSG00000000120"	-0.450324561639896	0.999984713681419	-0.008730191370101	0.956033059292746	0.0335964066916361	0.999551427825124	"Ngfr"	"nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125"	-1.17518143387045	0.999984713681419	0.0379958729238788	0.700822740058226	0.0508202285548967	0.999551427825124	"Wnt3"	"wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126"	-1.59932591865155	0.867159600246177	-0.027822349205257	0.692930918396479	0.0652055835937997	0.921463226078054	"Wnt9a"	"wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127"	0.219450544718157	0.999984713681419	-0.00936251045946535	0.923053518362757	-0.018743455272792	0.999551427825124	"Fer"	"fer (fms/fps related) protein kinase"
"ENSMUSG00000000131"	-0.147811816919776	0.999984713681419	0.00275373037892243	0.959036391662344	0.00962727166170521	0.999551427825124	"Xpo6"	"exportin 6"
"ENSMUSG00000000134"	-0.452315801495008	0.999984713681419	-0.0168778478322576	0.698928079252712	0.0263949600558642	0.999551427825124	"Tfe3"	"transcription factor E3"
"ENSMUSG00000000142"	-0.32380043296694	0.999984713681419	-0.0183723133915842	0.760711362584394	0.0156893871055069	0.999551427825124	"Axin2"	"axin2"
"ENSMUSG00000000148"	-0.31755201392231	0.999984713681419	0.016378358122786	0.776890700511158	0.0149062930276283	0.999551427825124	"Brat1"	"BRCA1-associated ATM activator 1"
"ENSMUSG00000000149"	-0.246815494213947	0.999984713681419	-0.0276113145598201	0.234155317359464	0.00824319923448752	0.999551427825124	"Gna12"	"guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000154"	1.22579702002601	0.999984713681419	0.212006891254368	0.0423826122129942	-0.0354841965572173	0.999551427825124	"Slc22a18"	"solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000167"	-0.203331413659371	0.999984713681419	0.00105797099448007	0.997597342320747	0.00550886254292853	0.999551427825124	"Pih1d2"	"PIH1 domain containing 2"
"ENSMUSG00000000168"	0.0741670819765568	0.999984713681419	0.00734173388634749	0.870867318577816	-0.00722363193518103	0.999551427825124	"Dlat"	"dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
